# L(L_sun) T(K)
500000.    38000.
20000.	   30000.
800.	   16400.
80.	   10800.
20.	   8620.
6	   7240.
2.5	   6540.
1.26	   5920.
1.00	   5780.
0.79	   5610.
0.40	   5240.
0.16	   4410.
0.063	   3920.
0.0079	   3120.
0.0008     2660.
